單字,美音,中文解釋,圖片,英文例句,中文翻譯
at,/æt/,在…地點,282.jpg,She's sitting at the table in the corner.,她坐在角落的一張桌子旁。
in,/ɪn/,在…裡面,283.jpg,the cat is in the box.,貓咪在箱子裡。
on,/ɑːn/,在…上面,284.jpg,Your suitcase is on top of the wardrobe.,你的手提箱在衣櫃頂上。
under,/ˈʌn.dɚ/,在…下面,285.jpg,He hid under the bed.,他躲在床底下。
by,/baɪ/,在…旁邊,286.jpg,A small child stood sullenly by her side.,一個小孩悶悶不樂地站在她身邊。
next to,/nekst tuː/,在…旁邊,287.jpg,the trash can is next to the wall.,垃圾筒在牆邊。
beside,/bɪˈsaɪd/,在…旁邊,288.jpg,Come and sit here beside me.,過來坐在我身邊。
in front of,/ɪn frʌnt ɑːv/,在…前面,289.jpg,A crowd gathered in front of the building. ,大樓前圍了一大群人。
behind,/bɪˈhaɪnd/,在…後面,290.jpg,I hung my coat behind the door.,我把大衣掛在門後了。
