單字,美音,中文解釋,圖片,英文例句,中文翻譯
head,/hed/,頭,60.jpg,Put this hat on to keep your head warm.,戴上這頂帽子，給頭部保暖。
hair,/her/,頭髮,61.jpg,"He's got short, dark hair.",他的頭髮短而黑。
eye,/aɪ/,眼睛,62.jpg,He has no sight in his left eye.,他左眼失明。
nose,/noʊz/,鼻子,63.jpg,I had a sore throat and a runny nose.,我喉嚨痛，還流鼻涕。
mouth,/maʊθ/,嘴巴,64.jpg,"Open your mouth wide and say ""Ah"".",張大嘴，說「啊」。
ear,/ɪr/,耳朵,65.jpg,The hearing in my left ear's not so good.,我左耳聽力不是太好。
hand,/hænd/,手,66.jpg,All their toys are made by hand.,他們所有的玩具都是手工製作的。
leg,/leɡ/,腿,67.jpg,My legs were tired after so much walking.,走了這麽遠的路，我的腿有些累了。
feet,/fiːt/,腳,68.jpg,my feet is big.,我的腳很大。
